"","TechAttitudeMean","TechUseSocialMean","ShoppingAttitudeMean","SocialWebMean","RadioWebMean","VideoWebMean","LeaderMean","Income","Clusters"
"1008",3.2,3.25,4.45454545454545,4,4,3.75,3,1,3
"339",2.4,1.75,2.54545454545455,2.25,1.5,2,1.66666666666667,9,4
"1704",2.8,1.25,3.18181818181818,2.5,3.5,2.75,1.83333333333333,7,1
"1895",2.6,2.25,3.63636363636364,2.75,3.25,3.5,2.08333333333333,6,1
"1863",2,1.5,2.63636363636364,2.5,2.5,2.75,1.66666666666667,7,1
"95",1.4,2,3.09090909090909,2.75,2.75,2.5,1.41666666666667,14,4
"859",2.4,3.25,2.36363636363636,2.75,2,2,2,3,4
"313",2,2.75,3.54545454545455,2.25,2.25,2.25,2.33333333333333,10,2
"1030",1.2,2.25,2.72727272727273,2.25,1.75,2,1.41666666666667,4,4
"721",2.8,3.5,3.09090909090909,1.75,2.75,2.25,2.66666666666667,1,2
"521",2.6,3.25,3.36363636363636,3,2.75,2.25,2.16666666666667,1,1
"2020",2.8,2,3.54545454545455,1.5,3,1.75,1.91666666666667,13,2
"1109",2.8,3.5,3,3.25,3.5,3,2.41666666666667,6,3
"1320",3.8,2.5,2.81818181818182,2.75,3.75,3.25,2.41666666666667,14,2
"1981",1.6,2.25,3.63636363636364,2.25,4,3,1.66666666666667,9,1
"518",2,2.25,1.90909090909091,1.5,2.5,2.25,1.66666666666667,10,4
"1229",4.6,3.25,4.81818181818182,4,4,3.75,2.91666666666667,4,3
"996",2.8,3.5,3.45454545454545,2.75,2.75,3.75,2.58333333333333,14,3
"1319",2.4,2.25,2.72727272727273,3.25,4,3,1.75,12,1
"1461",2.6,2.25,4.72727272727273,2.25,3.25,1,1.91666666666667,10,2
"552",1,1,1,3.25,4,3,0.833333333333333,6,1
"1490",2.4,1.75,2.45454545454545,2.5,2.25,2,1.75,6,4
"1324",3.2,2.25,3.27272727272727,3.25,4,2.75,2,4,1
"1265",2.6,1.5,3.90909090909091,3,2.5,2.25,2.33333333333333,8,2
"2281",3,3,2.72727272727273,2.25,3,2.75,2.5,13,2
"315",3.2,2.75,3.36363636363636,1.25,2.5,2.5,2.66666666666667,6,2
"2042",2.4,2.75,2.09090909090909,2.25,2.75,1.75,2,9,4
"804",3,3,3,4,4,3.5,2.5,4,3
"1577",2.8,2.25,3.81818181818182,3.5,3.5,2.5,2.25,12,2
"436",3.2,3.25,2.45454545454545,3,3.25,2.5,2.58333333333333,6,3
"2178",2.6,2.75,3.36363636363636,2,2.25,2,2.25,7,2
"2075",3.2,3.5,3.63636363636364,3.5,4,3.5,2.66666666666667,12,3
"1308",3,2.25,3.54545454545455,4,4,4,2.08333333333333,7,1
"1316",2.6,2.25,3.90909090909091,3.25,3.25,3.25,1.91666666666667,13,2
"1946",3.8,4.75,5.36363636363636,2.75,4,3.5,3.91666666666667,8,3
"349",2.8,2.75,3.45454545454545,3.25,2.75,2,2.33333333333333,8,2
"1837",3.6,2.25,2.90909090909091,2.75,4,2.75,2.41666666666667,14,2
"2285",2.6,4,2.36363636363636,1.75,2.25,1.75,2.66666666666667,7,4
"841",2.8,2.25,2.90909090909091,2.5,2.25,2,2,5,4
"1803",3.8,3.5,3.27272727272727,3.25,4,3.5,3,3,3
"2265",2.2,2.25,3.36363636363636,3,3,3.5,1.5,5,1
"153",2,3.75,4.18181818181818,2.75,3.5,3.25,2.5,6,3
"772",3.2,4.25,4.18181818181818,3.25,4,2.5,2.91666666666667,9,3
"268",3,2.75,4.09090909090909,3.25,2.75,2.75,2.33333333333333,5,3
"28",3.2,3.5,3.90909090909091,2.75,3.75,3,2.66666666666667,9,2
"2211",1.8,2.25,1.72727272727273,2,1.75,1.75,1.75,3,4
"311",2.8,3.25,2.54545454545455,3,3.5,3.5,2.16666666666667,6,3
"42",2,2.5,2.27272727272727,3.25,3.5,3.25,1.83333333333333,8,1
"2008",3.2,3.5,2.54545454545455,3.5,3.25,2.75,3.16666666666667,13,3
"1115",2.2,3.75,1.81818181818182,3,1.75,2.75,2.25,6,4
"1246",3.6,3.25,3.36363636363636,3.25,3.5,3.5,2.5,5,3
"382",3.4,3,3.45454545454545,3.75,4,3.5,2.83333333333333,2,3
"786",1.4,2,1.63636363636364,1,1.5,1,1.41666666666667,7,4
"1038",3,3,3,3,4,3.5,2.5,4,3
"428",3,3,3,2,2,2,2.5,9,2
"829",1.8,2.25,2.27272727272727,3.25,2.5,2.5,1.58333333333333,6,4
"1220",4.4,3,2.81818181818182,2.5,2.25,2.5,3.08333333333333,8,3
"1095",3.2,2,2.09090909090909,3.25,3,3.75,2.41666666666667,7,1
"634",1.6,2.5,4.27272727272727,2.75,2.5,2.5,1.75,2,1
"105",2,1,1.90909090909091,2.75,3.75,3.25,1.25,4,1
"1036",1,1,2.90909090909091,3.25,2.5,3.25,0.833333333333333,7,4
"45",2.4,2.25,2.72727272727273,3.25,4,3.25,1.83333333333333,7,1
"472",2,1,1.36363636363636,1.75,1.25,2,1.25,10,4
"1370",4.4,2.5,4.09090909090909,3.5,3.75,3.75,3.5,1,3
"417",3.6,4,3.63636363636364,3.75,4,3.75,3.16666666666667,5,3
"1832",3,1.75,2.18181818181818,3.25,3.75,3,2,6,1
"353",1.6,2,2.09090909090909,3.25,2.75,3.25,1.33333333333333,7,1
"1744",2.2,2,1.54545454545455,3.25,4,3,1.66666666666667,1,1
"941",1.6,1.75,1.45454545454545,1.5,1.5,1.5,1.5,9,4
"2286",3,2.25,2.09090909090909,3.25,2.25,3.5,2.08333333333333,11,1
"824",3,3.75,3.72727272727273,4,4,3.75,2.66666666666667,9,3
"765",4,3,4.72727272727273,3.25,3.5,3.5,2.66666666666667,6,3
"1791",2.6,3.75,2.90909090909091,2.75,3.5,3,2.41666666666667,1,3
"1905",2.2,1.5,3.90909090909091,4,4,2.75,1.91666666666667,11,2
"1292",3.2,3,4.27272727272727,2.75,4,3,2.5,8,2
"1170",1.8,2,2.27272727272727,1.75,1.75,2,1.91666666666667,6,4
"1910",2.4,3,3.72727272727273,3.25,4,3.5,2.41666666666667,2,3
"555",1,1,1.54545454545455,1,1,1,0.833333333333333,2,4
"2280",2.4,3,2.54545454545455,2.5,3,1.75,2.33333333333333,5,1
"1127",1.8,1.5,2.27272727272727,1.5,2.25,2.5,1.25,5,4
"217",2.4,2.25,2.45454545454545,1.5,2.25,1.5,1.83333333333333,1,4
"1011",3,3,2.36363636363636,1.25,2.5,3.25,2.58333333333333,12,4
"589",3,3,3.18181818181818,3.5,3.5,3.5,2.66666666666667,11,3
"1524",3.6,2.25,4.54545454545455,2.75,3,2.25,2.16666666666667,12,2
"2294",2.6,3,3.54545454545455,3,3.25,2.75,2.66666666666667,6,3
"1261",3,2.25,2.90909090909091,2.25,3.25,3,2.16666666666667,9,2
"385",3.4,2.25,2.54545454545455,3.25,2.5,2.75,2.25,5,3
"2048",3.2,2.25,3.18181818181818,2.25,3.75,2,2.25,12,2
"1196",2.4,2.5,2.63636363636364,2.25,2.5,2.5,2,8,2
"2126",2.2,4.25,2.72727272727273,2,2,1.75,2.5,6,4
"833",3.4,3.25,4.18181818181818,3,3.5,2.5,2.75,6,3
"2045",2.4,3.75,2.45454545454545,3,3.75,3.25,2.08333333333333,1,3
"358",3.4,4.25,3.36363636363636,2.5,3.5,2.5,2.75,1,3
"33",3.4,2.25,3.18181818181818,2,3.75,2.25,2.41666666666667,11,2
"548",2.2,2,2.27272727272727,3.25,2.5,2,1.91666666666667,5,4
"2094",4.4,2.25,3.54545454545455,3.25,3.25,2.5,3.16666666666667,14,3
"1828",3.2,2.25,3.09090909090909,2.5,3.25,3.25,2.5,14,2
"308",1.4,2.75,2.09090909090909,3,3.25,3.5,1.41666666666667,8,1
"883",2.4,2,2,1.75,1,1.75,1.83333333333333,4,4
"103",2.8,4,3.36363636363636,3.25,4,4,2.91666666666667,10,3
"334",2.2,2.25,3,1.75,3,2.25,1.83333333333333,12,4
"2083",1.8,2.5,2.27272727272727,3.25,3.5,3.25,1.83333333333333,11,1
"61",2,2.25,1.90909090909091,2.5,2.75,3,1.75,1,1
"2060",3.6,4,5,4,3,3.75,3.16666666666667,14,3
"295",2.2,2,2,3,2.75,2.5,1.91666666666667,13,1
"1062",3,3,3.18181818181818,2.25,2,3.25,1.83333333333333,3,4
"470",2.4,3,3.81818181818182,3,3.5,2.75,2.33333333333333,5,1
"636",3,2.75,3.09090909090909,2.25,2.5,2.25,2.41666666666667,6,2
"678",2.8,2,2.36363636363636,3.25,3.25,3,2,6,1
"389",3.2,3,4.09090909090909,4,3.75,3.25,2.08333333333333,4,1
"2079",3.2,2.5,3.72727272727273,3.5,3.25,4,2.33333333333333,7,3
"1809",2.8,4,3.27272727272727,3.25,4,2.75,2.83333333333333,10,3
"949",1.4,1.25,2.36363636363636,1.75,1.75,2,1.16666666666667,13,4
"562",4,2.75,2.63636363636364,2.5,2.75,1.75,2.66666666666667,8,1
"1835",2.2,2,2.27272727272727,3.25,2.5,3.25,1.66666666666667,10,1
"1477",3.2,2.25,4.27272727272727,2,3.5,3,2.33333333333333,9,2
"1518",3.2,2.25,2.18181818181818,2.25,3.25,2.25,2.16666666666667,7,2
"814",2.8,2.5,2.18181818181818,2.25,3,2.75,2.08333333333333,5,1
"757",3.8,3.75,3.90909090909091,3.25,3.75,3.5,3.08333333333333,7,3
"2056",2.2,3.5,3.54545454545455,4,4,3.5,2.91666666666667,14,3
"1658",2.8,2.25,1.90909090909091,2.75,3,2,2,9,2
"1953",2.6,3.5,4.63636363636364,3.25,3,3,2.75,1,3
"1884",2.8,3,4,3.75,3.75,2.75,3,12,3
"1296",2.6,1.5,2.90909090909091,2.5,3,2.5,1.66666666666667,8,1
"684",3.4,3.25,3.18181818181818,2.25,2.25,2,2.5,1,2
"593",2,2,2.90909090909091,1.75,1.75,2.5,1.66666666666667,13,4
"1498",2.6,2.5,3.27272727272727,3.25,2.5,3.5,2.5,14,2
"1439",3.4,2,3.63636363636364,2,2.75,2,2.25,8,2
"87",2.8,2.75,3.36363636363636,3.5,3.5,2,2.75,11,2
"2335",1.8,1.75,1.18181818181818,1.75,1.5,1.5,1.41666666666667,14,4
"2364",3.8,2.75,3.63636363636364,2.5,2.5,2.5,2.83333333333333,5,3
"1140",4,3,3.63636363636364,3.25,3.75,3.75,2.83333333333333,5,3
"388",2.6,3.5,2.63636363636364,3,3.25,2,2.83333333333333,10,2
"1918",3.6,3.5,3.90909090909091,3.25,2.75,3.25,3,5,3
"377",2,2.75,3.27272727272727,2.5,3.5,2,2,8,2
"463",2.6,2.5,3,2.5,2.25,2.5,2,6,4
"1431",3.6,3.25,3.63636363636364,2.25,3.5,2.5,2.75,13,2
"1826",1.8,2.25,2.09090909090909,1.5,3.5,2.25,1.66666666666667,14,4
"933",3.6,2.75,3.18181818181818,3,4,3,2.5,8,3
"549",2.4,1.5,1.54545454545455,1.25,1.75,2.25,1.5,8,4
"1436",3.2,2.5,4.18181818181818,3.5,3.5,2.5,2.33333333333333,12,2
"1417",2.4,3,3.45454545454545,2.75,3.25,2,2,14,2
"907",1.6,1.75,3.36363636363636,2.75,3.25,3.5,1.41666666666667,6,1
"1917",2.8,2.5,4.63636363636364,2.5,4,3.25,2.08333333333333,14,2
"672",2,1.25,2.09090909090909,1.25,3.5,1.75,1.5,8,4
"1063",3.8,2.75,4.09090909090909,3.25,3.75,3.5,2.66666666666667,3,3
"913",2.2,2.5,2.18181818181818,3.5,3.75,3.25,1.91666666666667,7,1
"1633",2.8,2.5,2.81818181818182,3,4,3.75,2.25,9,3
"1507",2.6,2,3.18181818181818,3.25,4,2.75,2,1,1
"921",2.6,2.25,3.54545454545455,3.25,3.25,2,2.25,11,2
"1784",3.4,3.75,3.18181818181818,2.5,3.5,3.25,3.08333333333333,14,3
"707",2.2,2.5,3.81818181818182,3,3,2.25,2.25,8,2
"1504",1.8,2.75,2.63636363636364,3.5,3.75,3.5,1.83333333333333,14,1
"1801",2.2,2,2.54545454545455,3.25,3,2.75,1.83333333333333,7,1
"1985",2.6,2.25,3.63636363636364,2.5,3.25,3.25,2,6,1
"2000",3.8,2,2.81818181818182,2,3,2.25,2.5,5,2
"478",2.6,1.75,2.54545454545455,2.5,2.5,2.25,1.83333333333333,11,4
"1636",3.2,2.5,4,2.5,4,2.75,2.25,13,2
"2392",1.2,3,1.90909090909091,2.75,3,2.5,1.91666666666667,1,1
"1221",3.2,3.25,3.63636363636364,2.75,3.5,3.25,2.83333333333333,7,3
"750",2.8,2.5,3.18181818181818,2.25,3.25,3.25,2.41666666666667,8,2
"1411",3.2,2.25,3.18181818181818,2.5,2.75,2.75,2.25,14,2
"1606",4,4.25,4.63636363636364,2.75,4,2.75,3.16666666666667,12,3
"1399",2.6,2.75,3.36363636363636,2.5,3.5,1.75,2,13,2
"903",2.4,2.5,3,2.75,3,2.5,1.91666666666667,4,1
"1015",2.8,2.5,5.09090909090909,3.25,3.25,2.25,2.58333333333333,7,2
"1562",3.4,2,4.18181818181818,2.75,3,2,2.08333333333333,9,2
"2389",3,4,2.63636363636364,3.25,3.25,3.5,2.83333333333333,3,3
"1240",4.4,5.25,3.54545454545455,3.25,4,3.5,3.33333333333333,10,3
"425",2,3.5,3.27272727272727,2.75,2,2.75,2.41666666666667,6,4
"302",3,4,3,3.25,3.25,3.25,2.5,9,3
"2084",4,4,2.90909090909091,3,3.5,3,3.33333333333333,12,3
"773",3,4.5,4.90909090909091,3.25,4,3.75,3.16666666666667,9,3
"1756",2.4,2.25,3.36363636363636,3.25,3.75,2.5,1.91666666666667,6,1
"525",1,1,2,2,2,2,0.833333333333333,4,4
"1441",1.4,1.5,2.72727272727273,2.5,3.5,3.5,1.33333333333333,4,1
"1306",2.4,1.75,2.81818181818182,2,3.25,2.5,1.83333333333333,14,4
"2354",3,4,2.63636363636364,3,3.75,2.75,2.66666666666667,6,3
"2150",2.6,2.75,2.63636363636364,1.75,2.75,1.5,2.16666666666667,6,4
"330",1,1,1.90909090909091,1.25,2,1.75,0.833333333333333,7,4
"834",4,3.25,4.18181818181818,3.25,4,3.5,3.16666666666667,7,3
"1908",2,3,3.45454545454545,2,3.5,2,2.08333333333333,6,2
"427",2.8,3.25,2.81818181818182,1.75,3,2,2.58333333333333,7,2
"1542",2.6,3.5,3.27272727272727,2.25,3,2.5,2.41666666666667,10,2
"1200",3,2.25,3.09090909090909,3,4,3.5,2.08333333333333,9,3
"979",1,1,1,1,1,1,0.833333333333333,11,4
"416",2,2.25,2.45454545454545,2.75,3.75,3,1.75,4,1
"935",2.2,2.5,2.90909090909091,3,3.5,3.75,2.25,2,1
"1513",2.6,3,2.72727272727273,2,3,2,2.41666666666667,10,2
"2196",1,1.5,2.18181818181818,1,1.25,1.5,1,12,4
"1242",1.4,3.25,3.45454545454545,3,3.25,2.75,2.08333333333333,1,1
"1598",3,2.25,3.90909090909091,2.75,3.25,2.5,2.41666666666667,14,2
"272",2,2.5,4.36363636363636,3.5,2.5,3.25,2.08333333333333,9,2
"1783",2.4,1.25,4.72727272727273,4,3.5,3.5,2.16666666666667,11,2
"1253",3,2.5,3.63636363636364,3.25,2.5,3,2.41666666666667,7,3
"746",1,1,2.63636363636364,1,1,1,0.833333333333333,10,4
"258",3,3.25,3.81818181818182,1.75,1,1.25,2.41666666666667,2,4
"378",3,2.25,4.09090909090909,3.25,3.5,3.25,1.75,10,2
"851",2,2,2,1.25,1.5,1.25,1.66666666666667,3,4
"111",3.2,3.5,3.63636363636364,3.5,2.5,3.25,2.33333333333333,9,3
"1188",2.4,3,2.63636363636364,2.75,2,3,2.41666666666667,9,4
"554",2.2,3.25,3.18181818181818,1,1,1,2,9,4
"532",2.4,3.5,3.18181818181818,3.25,2.75,3.5,2.66666666666667,8,3
"784",1,1,2.45454545454545,2.75,3.5,3.25,0.833333333333333,6,4
"791",2.4,3,2.36363636363636,2,2.75,2.5,1.75,3,2
"1123",3.8,4.5,5,3,3.75,3,2.91666666666667,1,3
"305",1,2.25,2.09090909090909,3.25,3.25,1.75,1.25,12,4
"1897",2.6,3.5,2.54545454545455,2.75,3.5,2.5,2.41666666666667,14,2
"1145",2.6,2.5,2.45454545454545,1.75,2,3.25,2.16666666666667,11,4
"828",3,2.5,3.45454545454545,3,4,3,2,5,1
"167",1.8,2.25,2.54545454545455,1.75,2.5,3.25,1.58333333333333,2,1
"844",2.2,2.25,3.54545454545455,3.25,3.25,3.5,1.75,5,1
"556",1.4,2.5,2.63636363636364,1.75,2,2.25,1.5,8,4
"1668",4,2.75,2.72727272727273,2.5,3.25,1,2.75,10,1
"247",2,2.75,3.27272727272727,3.25,3.25,3.5,2.16666666666667,4,1
"1414",2.6,2.5,3.36363636363636,3.5,2.75,2.5,2.58333333333333,14,2
"963",1,1,1.63636363636364,3,3,3.25,0.833333333333333,6,4
"1976",2,3.25,3.18181818181818,3.25,3.5,2.5,2.25,7,1
"2267",2.4,2.5,2.63636363636364,2.75,2,2.25,2,4,4
"1792",1.6,1.75,1.45454545454545,3,1.75,2,1.33333333333333,9,4
"347",3,3,2.54545454545455,3.5,4,3.25,2.83333333333333,4,3
"2275",1.6,2.75,1.54545454545455,1.25,1.25,1.25,1.58333333333333,12,4
"1120",1,1,1.45454545454545,3.25,4,4,0.833333333333333,4,1
"326",3,3,3.36363636363636,2.5,2.5,2.5,2.75,8,2
"1685",3.6,3.25,3.36363636363636,2,3.75,2.75,2.33333333333333,12,2
"1827",1.4,3.25,4,2.25,4,2.75,2.08333333333333,9,2
"919",1,1,2.27272727272727,1,1,1,0.833333333333333,4,4
"275",3.4,3.25,3.36363636363636,3,3.5,3.25,2.83333333333333,6,3
"1034",3,3.5,2.45454545454545,2.75,3.75,3.5,2.5,10,3
"940",4,3.75,4,3.25,4,3,3.16666666666667,14,3
"512",2.2,2.75,2.36363636363636,1,2.25,1.25,1.91666666666667,6,4
"249",3,3.75,3.54545454545455,2.25,2.75,2.5,2.25,6,2
"545",1.2,3.25,4.18181818181818,3.25,3.75,3.25,2.08333333333333,4,1
"698",2.4,4,3.81818181818182,3.25,2.5,3.25,2.58333333333333,3,3
"141",3.4,3.25,4.45454545454545,3,3.75,3.25,2.83333333333333,5,3
"2080",2.2,2,2.54545454545455,2.5,2.75,3.25,1.66666666666667,14,1
"294",2.4,3,2.09090909090909,3.25,3.75,3.25,1.75,6,1
"439",3.2,4,2.45454545454545,1.5,1.75,1.75,2.66666666666667,3,2
"390",2,2,1.72727272727273,1.75,1.75,2.5,1.58333333333333,8,4
"332",3.2,2,1.90909090909091,3.25,3.25,3.5,2.33333333333333,12,1
"1260",1.8,2.75,2.90909090909091,3,3,3.25,2,2,1
"1510",2.6,2.25,3.45454545454545,3.5,3.5,3,2.25,8,1
"960",2.6,2.75,3.45454545454545,3,3.75,3.25,2.5,11,3
"1394",2.2,2.75,2.36363636363636,3,3.5,2.75,1.66666666666667,6,1
"1336",2.6,4,4,3.25,3.75,3.75,3.08333333333333,11,3
"1901",2.4,3,4.18181818181818,2,4,2.75,2.25,14,2
"741",1.6,1.5,1.72727272727273,1.25,2,1.5,1.16666666666667,6,4
"370",1.8,1.5,1.45454545454545,1.25,1.75,1.25,1.16666666666667,11,4
"2014",4.2,5,5,3.25,4,3.25,3.83333333333333,1,3
"1931",1.4,1,1.27272727272727,2.75,3.25,2,0.833333333333333,10,4
"2368",2.2,4,3,1.75,2.25,2.5,2.75,14,1
"1288",1.8,2,1.72727272727273,2.5,3.25,2.25,1.5,5,4
"1750",3.6,2.25,3.45454545454545,2.75,3,2.75,2.33333333333333,9,2
"1732",2,1.25,2.90909090909091,3,3.5,3,1.16666666666667,9,1
"2296",2.4,2.75,1.81818181818182,2.5,3.25,2.75,1.83333333333333,12,1
"6",2.6,2.5,2.63636363636364,2,2.75,2,2.08333333333333,4,4
"2237",2.4,2,2.81818181818182,2.75,2.75,2.75,1.83333333333333,14,4
"640",4,3.5,2.90909090909091,3.25,1.75,2.5,3.25,14,3
"1323",2.8,2.25,3.36363636363636,3.25,3.25,2.5,2.16666666666667,11,2
"508",1.8,3,2,2.5,2.75,2.25,2.08333333333333,2,1
"106",2.6,2.5,3,3.25,4,3.5,2.08333333333333,1,1
"502",3,5,3.72727272727273,3.25,3.5,4,3.08333333333333,12,3
"2041",2.6,3.25,3.63636363636364,2.75,2.5,2.25,2.66666666666667,1,1
"1176",3.6,3,3.27272727272727,2.25,3.25,3.25,2.16666666666667,1,1
"1736",3.6,2.75,4,3.5,3.5,2.5,3.25,1,3
"1307",1,1,1,2.75,3.75,2.75,0.833333333333333,9,4
"1158",2.6,4.25,3,2,3.75,3,2.75,7,2
"1722",2.2,2.5,3.18181818181818,2.75,2.75,3.25,2,5,1
"950",3.2,3,4.09090909090909,3.25,4,3.5,2.5,8,3
"244",1.8,1.5,3.18181818181818,1.5,2,3,1.58333333333333,10,4
"670",2,3,2.72727272727273,1.75,3.25,3.25,1.91666666666667,6,1
"2243",2.2,2.5,1.72727272727273,2,2.25,2.25,2.33333333333333,7,4
"1241",2.2,2.25,3.09090909090909,2.75,2.75,2.75,1.83333333333333,9,1
"418",2.8,2.75,3,2.25,1.75,2,2.41666666666667,10,2
"1080",3.6,2.5,3.45454545454545,2.25,3.5,2.25,2.66666666666667,14,2
"1488",3,2.75,2.27272727272727,3,3.25,3,2.58333333333333,10,3
"976",2.8,3.5,3.72727272727273,1.5,3.5,3,2.41666666666667,4,2
"1660",3,2.5,2.54545454545455,2.25,3.25,2.75,2.5,14,2
"1040",2.4,2,3.27272727272727,2.25,2.25,2.25,1.75,2,4
"2152",3,2.25,1.45454545454545,2,1.5,1.5,2.08333333333333,7,4
"2018",2,2.75,2.81818181818182,3.25,3.5,2.75,2.08333333333333,12,1
"2063",2.6,2.25,3.27272727272727,3.25,3,3.5,1.75,12,2
"1300",2.8,3,3.72727272727273,3.25,2.5,3,2.41666666666667,6,3
"1764",2.4,2.75,3.90909090909091,3.25,3.5,3,2.25,5,1
"1410",2.8,2,3.36363636363636,2,2.75,2,2.16666666666667,13,2
"25",2.8,2,3.81818181818182,3.5,4,4,2,12,2
"1463",3.8,2.5,4,2.75,3.5,2.25,2.75,6,3
"1213",3.2,2.75,3.09090909090909,4,3.25,3.75,2.75,13,3
"1020",2.4,2.75,2.18181818181818,3.25,3,3,2.08333333333333,5,1
"1627",2,3.5,2.81818181818182,3.25,3.5,3.75,2,5,1
"1563",3,2.25,2.18181818181818,2.75,3.5,2.25,2.25,5,1
"1769",2.2,3.75,2.36363636363636,3.25,2.75,3.75,2.41666666666667,9,3
"1969",2.2,2.25,3,2.5,3.25,3.25,1.66666666666667,14,1
"581",1.8,1.75,2.36363636363636,1.75,1.75,1.75,1.41666666666667,7,4
"1799",3.2,3,3,1.75,3.25,2.5,2.41666666666667,8,2
"1346",2.8,3,3.09090909090909,2.5,2.75,2.25,2.41666666666667,11,2
"1569",2.8,2.5,3.63636363636364,3.75,3,2.75,2.08333333333333,6,1
"1159",2.4,2.75,3.09090909090909,2.5,3.25,2.25,2.33333333333333,2,1
"231",1.4,1.5,1.45454545454545,1.75,2,1,1.08333333333333,11,4
"713",2.4,3.5,1,2.75,2.5,2.75,2.41666666666667,1,4
"869",2.4,2.25,1.72727272727273,2.5,2.25,2.5,1.83333333333333,4,4
"2044",2.4,2.75,2.36363636363636,2.75,3.5,2.25,2.5,13,2
"1726",2.6,3,3.45454545454545,3.25,4,3.5,2.41666666666667,2,3
"973",1.6,2.5,2.72727272727273,2.75,2,2.25,1.91666666666667,5,4
"1850",2.6,3,3.09090909090909,2.5,2.5,2,2.25,9,2
"922",1.8,2.25,2.54545454545455,2,3.5,3,1.66666666666667,6,1
"2092",2.4,2.5,3.90909090909091,3.25,3.25,3.5,2.33333333333333,12,2
"1871",2.6,2.75,3.63636363636364,3.5,4,3.5,2.5,9,3
"1059",2.4,2.25,2.90909090909091,3,3,3.25,1.75,12,1
"1609",2,2.75,3.45454545454545,2.5,3.25,2.5,1.83333333333333,1,1
"2239",2,2.5,2.36363636363636,2.75,2.75,2.75,2,11,1
"761",2.8,3,3,2.5,3.5,2.25,2.25,6,1
"432",2,2.5,2.36363636363636,3,3.25,3.5,1.91666666666667,13,1
"2277",3.4,3,2.81818181818182,1,2,1.5,2.58333333333333,10,1
"1274",3,3.75,3.36363636363636,3,3.5,2.75,3.08333333333333,14,3
"108",3,3.25,4,3.75,3.25,3.25,3.08333333333333,6,3
"1757",3.4,2.25,3.09090909090909,3,3.25,3.5,2.25,8,3
"1915",1.8,2.25,1.90909090909091,3.5,2.75,3.5,1.75,7,1
"864",3.4,3.5,2.90909090909091,3,2.75,3.25,2.66666666666667,3,3
"2395",2.6,2.75,2.45454545454545,3.25,3,2.25,2.25,7,1
"2034",2.4,2,2.81818181818182,2.25,2.5,2.5,2,12,4
"1415",3,2.75,2.27272727272727,2,3.5,2.5,2.33333333333333,5,1
"117",3,1.25,1,1,1,1.25,2,8,4
"2257",2.2,2.5,2.18181818181818,1.75,1.25,1.5,2,6,4
"2185",3.2,3.75,3.18181818181818,3,2.75,2.5,2.75,10,2
"1927",2.8,2.5,4.54545454545455,2.75,3.5,2.75,1.91666666666667,8,2
"1301",3.6,2,2.27272727272727,2,3.5,2.5,2.5,14,2
"1224",2.8,3,3.18181818181818,3.25,3.25,3,1.91666666666667,12,2
"2352",2.2,3.5,2.90909090909091,3.25,3,3.25,2.58333333333333,1,3
"170",1.8,2,2.36363636363636,2.75,2,2.25,1.91666666666667,7,4
"2212",2.4,2.75,2.45454545454545,1.5,1.75,1.75,2.08333333333333,10,4
"860",2.6,3.25,3.63636363636364,3,3.75,2.5,2.66666666666667,2,3
"1923",3.2,2.75,4.36363636363636,2.5,3.25,2.75,2.58333333333333,10,2
"351",2.2,1,1.72727272727273,2.75,2.75,3.25,1.33333333333333,13,1
"1626",1.6,3,3,2.5,3.75,2.75,1.91666666666667,6,1
"1173",2,2,2,2,2.75,2,1.66666666666667,14,4
"494",3.2,3.25,2.90909090909091,3,2.75,3.25,2.58333333333333,3,3
"1121",2.8,2.5,2.63636363636364,2.75,3,3,2.08333333333333,8,1
"668",1,1,2.54545454545455,2,2,2,0.833333333333333,6,4
"1749",2.4,1,3.54545454545455,3,3.25,3,1.41666666666667,6,1
"890",3,3.25,2.72727272727273,3.25,4,4,2.91666666666667,5,3
"529",1.6,2.75,2.18181818181818,2,1.75,1.5,1.83333333333333,4,4
"329",3.6,2.25,2.09090909090909,2.5,3,2.5,2.08333333333333,12,2
"1494",3,3,1.63636363636364,2.75,3.5,2.5,2.5,14,2
"546",2.4,2.5,3.27272727272727,2.25,3,3.25,2.08333333333333,6,1
"2370",2.2,2.5,1.18181818181818,2.75,3.5,3.5,2,6,1
"2279",3,2.5,3.45454545454545,3.5,3.25,2.25,2.41666666666667,11,2
"1935",1.2,2.25,2.81818181818182,2.5,3.75,2.75,1.41666666666667,1,4
"764",2.4,2.5,2.54545454545455,1.25,2.25,1.75,2,3,4
"1045",2.6,2.75,2.81818181818182,2,3,2.25,1.91666666666667,10,2
"1681",2.6,3,3.09090909090909,2.25,3.5,2.75,2.08333333333333,13,2
"317",3.2,2.25,2.45454545454545,2,2.25,2,2.25,4,4
"762",2.4,3.75,4.09090909090909,4,3,3.25,3.16666666666667,12,3
"1919",3,3,3,3.25,3,3.25,2.41666666666667,8,3
"118",2.2,2.75,2.27272727272727,1.5,3,3,2.08333333333333,6,1
"179",3,2.75,3.54545454545455,1.75,1.75,1.5,2.41666666666667,12,1
"2226",1,1,1.45454545454545,1,1,1,0.833333333333333,11,4
"1266",2.8,1.5,3.72727272727273,1.75,3.25,2,1.75,13,2
"2166",2.2,3.5,1.90909090909091,1.5,1.25,1.75,2,7,4
"2011",3.2,2.25,2.54545454545455,2.75,3,3,2,6,1
